Date,Open,High,Low,Close,Adj Close,Volume
2022-09-02,874.099976,881.299988,867.000000,872.400024,872.400024,8401284
2022-09-05,871.549988,885.900024,871.549988,882.450012,882.450012,8744999
2022-09-06,882.500000,889.950012,878.099976,883.650024,883.650024,9879326
2022-09-07,878.549988,882.650024,872.500000,876.200012,876.200012,8814960
2022-09-08,885.500000,900.799988,885.500000,898.799988,898.799988,12163106
2022-09-09,910.150024,911.950012,897.700012,901.250000,901.250000,9936230
2022-09-12,905.049988,908.900024,902.799988,907.200012,907.200012,6016978
2022-09-13,913.950012,913.950012,905.299988,910.000000,910.000000,10400475
2022-09-14,898.250000,922.250000,898.049988,918.099976,918.099976,14712947
2022-09-15,920.000000,936.650024,915.750000,917.599976,917.599976,16253099
2022-09-16,914.900024,917.599976,905.200012,909.099976,909.099976,11966860
2022-09-19,904.950012,912.500000,895.349976,899.200012,899.200012,11235656
2022-09-20,909.200012,922.500000,907.349976,916.750000,916.750000,12090663
2022-09-21,912.000000,917.000000,905.650024,915.250000,915.250000,8917640
2022-09-22,906.000000,911.700012,895.299988,903.400024,903.400024,11125669
2022-09-23,901.700012,904.900024,878.750000,882.250000,882.250000,15927517
2022-09-26,870.000000,877.900024,859.200012,861.049988,861.049988,14208640
2022-09-27,864.950012,874.849976,848.599976,852.549988,852.549988,12493809
2022-09-28,844.000000,863.250000,844.000000,849.500000,849.500000,11411458
2022-09-29,858.000000,861.599976,841.099976,843.900024,843.900024,13803629
2022-09-30,843.900024,867.049988,837.500000,862.000000,862.000000,13175031
2022-10-03,859.700012,860.950012,845.700012,848.349976,848.349976,8232026
2022-10-04,865.000000,872.650024,860.099976,867.650024,867.650024,8975095
2022-10-06,873.049988,891.700012,873.049988,885.450012,885.450012,12116698
2022-10-07,877.200012,884.500000,872.799988,882.549988,882.549988,9705750
2022-10-10,872.000000,889.799988,870.700012,881.750000,881.750000,7357588
2022-10-11,883.250000,883.250000,865.450012,870.599976,870.599976,11130051
2022-10-12,867.950012,871.700012,861.500000,868.349976,868.349976,14557532
2022-10-13,862.349976,865.450012,850.500000,853.599976,853.599976,11563124
2022-10-14,883.799988,883.799988,868.549988,870.250000,870.250000,8199540
2022-10-17,872.000000,887.500000,868.549988,885.200012,885.200012,8936947
2022-10-18,896.049988,900.700012,891.150024,896.900024,896.900024,8097552
2022-10-19,900.049988,900.650024,885.549988,892.099976,892.099976,5529462
2022-10-20,889.700012,893.299988,880.099976,888.650024,888.650024,8107159
2022-10-21,888.000000,910.000000,885.700012,907.150024,907.150024,17022807
2022-10-24,925.000000,933.500000,917.599976,926.299988,926.299988,4390050
2022-10-25,942.049988,943.250000,922.950012,925.049988,925.049988,15838120
2022-10-27,926.049988,933.700012,920.250000,924.400024,924.400024,16080842
2022-10-28,918.000000,927.500000,901.000000,907.849976,907.849976,9854094
2022-10-31,912.599976,917.049988,904.599976,908.700012,908.700012,9000840
2022-11-01,921.000000,921.000000,899.549988,908.599976,908.599976,9823761
2022-11-02,920.599976,920.750000,902.349976,904.700012,904.700012,7690974
2022-11-03,901.049988,913.849976,897.049988,908.650024,908.650024,9022366
2022-11-04,906.299988,913.400024,900.200012,905.299988,905.299988,7099336
2022-11-07,910.250000,920.099976,903.450012,917.500000,917.500000,11100219
2022-11-09,920.000000,921.900024,905.750000,910.500000,910.500000,11590409
2022-11-10,907.549988,912.950012,903.950012,910.700012,910.700012,10009741
2022-11-11,925.900024,928.000000,903.500000,906.549988,906.549988,17921457
2022-11-14,905.000000,906.549988,891.250000,894.950012,894.950012,12641308
2022-11-15,900.549988,913.650024,898.799988,911.700012,911.700012,15176911
2022-11-16,912.549988,918.099976,908.099976,913.599976,913.599976,13008311
2022-11-17,913.000000,922.299988,910.349976,919.799988,919.799988,12584194
2022-11-18,919.799988,922.000000,910.549988,920.349976,920.349976,10874061
2022-11-21,914.049988,924.799988,914.049988,921.400024,921.400024,9245704
2022-11-22,923.750000,926.500000,920.400024,923.700012,923.700012,11256509
2022-11-23,927.000000,931.849976,923.700012,927.450012,927.450012,10959704
2022-11-24,927.549988,940.650024,927.549988,938.849976,938.849976,10844395
2022-11-25,940.299988,942.900024,927.500000,930.299988,930.299988,9815055
2022-11-28,924.000000,943.799988,923.950012,937.400024,937.400024,9381474
2022-11-29,933.549988,949.900024,933.549988,946.750000,946.750000,13096845
2022-11-30,948.049988,958.200012,941.000000,952.900024,952.900024,20858573
2022-12-01,956.000000,957.000000,936.250000,940.200012,940.200012,15920653
2022-12-02,928.250000,934.500000,926.099976,930.599976,930.599976,14228874
2022-12-05,937.000000,937.000000,928.400024,933.599976,933.599976,10984608
2022-12-06,925.000000,929.750000,920.200012,922.650024,922.650024,18220912
2022-12-07,922.000000,933.200012,920.650024,922.150024,922.150024,15675663
2022-12-08,925.000000,933.549988,923.799988,931.900024,931.900024,10136870
2022-12-09,932.000000,934.799988,925.049988,929.900024,929.900024,9575331
2022-12-12,925.049988,933.900024,925.049988,930.299988,930.299988,8493863
2022-12-13,929.500000,935.900024,927.799988,932.950012,932.950012,10415140
2022-12-14,936.000000,936.049988,920.000000,921.750000,921.750000,12319827
2022-12-15,916.000000,919.900024,905.000000,908.799988,908.799988,8929748
2022-12-16,905.500000,913.700012,899.650024,902.000000,902.000000,9157260
